date,1. open,2. high,3. low,4. close,5. volume
2019-02-22,3945.8559,3997.4482,3932.5521,3979.4063,67173.0
2019-02-21,3978.1949,4025.8601,3905.3191,3943.4587,105622.0
2019-02-20,3919.6903,3993.1515,3887.5452,3974.7038,105996.0
2019-02-19,3899.6402,4003.1729,3865.9334,3921.455,148748.0
2019-02-18,3678.621,3939.9136,3666.0697,3911.3273,134062.0
2019-02-17,3623.2023,3699.7522,3606.1751,3672.0533,106914.0
2019-02-16,3619.066,3704.3767,3605.2841,3624.8178,63496.0
2019-02-15,3593.2585,3685.1703,3582.8838,3627.9908,78113.0
2019-02-14,3611.696,3631.163,3574.7662,3594.3314,84094.0
2019-02-13,3634.6703,3671.4302,3594.5951,3613.6903,110726.0
2019-02-12,3631.0671,3666.1044,3589.1952,3630.914,92173.0
2019-02-11,3680.1595,3683.5135,3613.3579,3625.4287,88505.0
2019-02-10,3667.1693,3689.9058,3616.3729,3684.6305,82815.0
2019-02-09,3661.6318,3681.8991,3630.3559,3664.1675,72673.0
2019-02-08,3399.1449,3732.6411,3380.8013,3657.5602,114190.0
2019-02-07,3400.0019,3418.6236,3382.3392,3391.2629,45484.0
2019-02-06,3470.9595,3482.1586,3379.4847,3407.165,94491.0
2019-02-05,3458.8856,3477.6147,3442.5963,3468.1265,64420.0
2019-02-04,3456.7628,3481.3477,3432.2278,3460.0016,64191.0
2019-02-03,3506.911,3514.8095,3428.81,3459.7634,66008.0
2019-02-02,3473.2786,3529.6378,3448.2467,3510.9346,57507.0
2019-02-01,3437.8822,3490.8221,3402.1726,3466.3438,77135.0
2019-01-31,3462.1965,3495.5487,3422.0841,3436.1705,77328.0
2019-01-30,3415.7421,3484.4939,3393.4324,3464.5475,88979.0
2019-01-29,3442.3211,3451.1573,3357.5609,3415.8733,78769.0
2019-01-28,3553.7728,3558.8602,3392.9407,3443.6096,108729.0
2019-01-27,3573.1305,3586.6507,3496.0834,3554.3285,87016.0
2019-01-26,3576.6868,3667.4253,3558.7637,3574.8573,80337.0
2019-01-25,3575.7554,3588.9632,3524.2348,3570.2354,91186.0
2019-01-24,3562.6838,3601.1846,3537.9284,3582.0188,52768.0
2019-01-23,3582.8428,3616.1376,3529.5329,3563.3734,46263.0
2019-01-22,3545.6406,3633.1271,3445.5821,3594.4924,51673.0
2019-01-21,3553.4445,3579.2495,3499.3209,3543.9377,35711.0
2019-01-20,3707.7594,3737.1294,3516.2096,3557.9467,45486.0
2019-01-19,3619.0673,3755.3064,3617.1578,3685.3828,43429.0
2019-01-18,3625.0922,3632.1097,3575.9577,3604.428,57900.0
2019-01-17,3606.2221,3651.5641,3545.712,3635.5313,68252.0
2019-01-16,3580.6451,3666.4596,3570.0102,3607.3622,78348.0
2019-01-15,3653.1175,3677.9524,3557.3283,3582.6863,94416.0
2019-01-14,3500.4309,3706.7955,3489.7769,3647.9907,123998.0
2019-01-13,3606.7411,3632.8586,3469.0924,3501.6806,78796.0
2019-01-12,3628.7782,3650.0233,3567.3562,3609.4872,71827.0
2019-01-11,3618.3562,3688.3426,3538.1786,3630.0742,102105.0
2019-01-10,4005.4535,4060.0,3592.0891,4000.18,127992.0
2019-01-09,3997.1989,4112.0,3934.73,3994.9,114256.0
2019-01-08,4011.1705,4109.0726,3946.6436,4005.45,93848.0
2019-01-07,4033.5984,4090.0,3753.0,4040.71,101392.0
2019-01-06,3834.4529,4125.8597,3780.0,3791.84,66064.0
2019-01-05,3842.4449,3896.4341,3732.38,3817.71,56746.0
2019-01-04,3811.5191,3893.4,3746.6386,3787.81,55127.0
2019-01-03,3902.1898,3918.67,3769.1272,3885.87,52494.0
2019-01-02,3909.2479,4018.8959,3629.66,3823.44,36643.0
2019-01-01,3766.7715,3918.4904,3630.0,3693.3,31476.0
2018-12-31,3904.5527,3913.8737,3688.76,3835.79,36660.0
2018-12-30,3834.3663,3961.85,3702.51,3725.48,34487.0
2018-12-29,3973.3389,4035.1003,3575.0,3884.97,44380.0
2018-12-28,3628.0322,3977.9044,3566.0,3591.69,83854.0
2018-12-27,3829.3684,3866.577,3585.883,3810.01,88838.0
2018-12-26,3795.1936,4049.23,3674.73,3779.99,84729.0
2018-12-25,4054.949,4236.84,3702.9642,4036.0,124425.0
2018-12-24,3979.6857,4269.8794,3900.0,3943.83,125923.0
2018-12-23,4012.4944,4088.0332,3780.09,3980.9,86885.0
2018-12-22,3872.6405,4162.0,3770.0,3841.08,99216.0
2018-12-21,4102.0878,4188.9162,3656.75,4073.77,185265.0
2018-12-20,3719.2332,4194.9232,3642.69,3684.5,262788.0
2018-12-19,3699.4212,3950.3905,3422.77,3667.16,213851.0
2018-12-18,3533.6492,3708.0971,3181.26,3496.73,132950.0
2018-12-17,3258.3507,3621.8349,3178.23,3193.78,158885.0
2018-12-16,3252.1273,3343.8843,3122.28,3179.54,97218.0
2018-12-15,3263.55,3294.81,3135.55,3195.75,14437.0
2018-12-14,3430.2,3441.13,3221.14,3262.73,11715.0
2018-12-13,3345.01,3490.0,3325.7,3430.18,7284.0
2018-12-12,3406.41,3427.27,3292.65,3353.42,8951.0
2018-12-11,3528.68,3588.43,3355.0,3408.0,10375.0
2018-12-10,3568.8055,3638.016,3371.09,3529.75,112573.0
2018-12-09,3435.437,3690.8098,3241.0,3398.8,99889.0
2018-12-08,3418.1693,3604.2829,3210.0,3380.68,141964.0
2018-12-07,3483.0193,3844.79,3237.0804,3437.26,230015.0
2018-12-06,3746.6959,3913.62,3496.6652,3696.69,170447.0
2018-12-05,3978.9556,4033.98,3730.0,3903.52,148330.0
2018-12-04,3900.6339,4115.15,3747.0,3834.34,131536.0
2018-12-03,4156.197,4265.0,3839.0018,4102.05,124256.0
2018-12-02,4210.9366,4336.7465,3904.34,4140.39,97760.0
2018-12-01,4039.3181,4316.429,3861.0,3971.06,119892.0
2018-11-30,4302.9129,4409.77,3940.5083,4249.8,186377.0
2018-11-29,4270.5498,4457.4131,3771.0,4220.16,186835.0
2018-11-28,3864.5452,4406.5906,3548.76,3771.01,220082.0
2018-11-27,3831.9838,4069.59,3522.28,3727.34,185918.0
2018-11-26,4048.169,4171.7363,3474.73,3938.89,238465.0
2018-11-25,3889.2765,4376.88,3607.4897,3785.65,252223.0
2018-11-24,4394.8852,4498.3314,3833.4923,4288.26,184977.0
2018-11-23,4351.5547,4589.53,4184.0149,4275.23,135078.0
2018-11-22,4632.6412,4690.4343,4242.33,4538.01,115578.0
2018-11-21,4496.4697,4897.36,4048.58,4352.0,203922.0
2018-11-20,4854.953,5559.69,4244.5261,4735.44,338956.0
2018-11-19,5631.1568,5658.47,4811.6753,5559.26,227473.0
2018-11-18,5613.9604,5731.8396,5452.63,5503.36,58846.0
2018-11-17,5638.195,5649.1,5411.74,5508.71,62145.0
2018-11-16,5705.1453,5732.3009,5199.8,5585.0,106023.0
2018-11-15,5804.647,6298.47,5324.0,5595.91,150211.0
2018-11-14,6352.0398,6388.6249,5544.0328,6260.91,146272.0
2018-11-13,6428.7193,6471.2445,6298.5,6318.0,44946.0
2018-11-12,6433.9753,6471.8814,6269.46,6357.54,36245.0
2018-11-11,6421.4568,6453.0337,6323.0,6349.32,30015.0
2018-11-10,6404.2387,6451.0337,6307.0,6325.0,20031.0
